Package|    License|        Source of License Information|  Comments|       License/Copyright Links/References
libatk1.0-0 |	 LGPL-2.0	|NA CLI|	NA|	NA|
libatk1.0-data |	 LGPL-2.0	|NA CLI|	NA|	NA|
libatomic1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc|
libcc1-0 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc|
liberror-perl |	Artistic and GPL	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/liberror-perl/liberror-perl_0.17-1.2/copyright|
libexpat1 |	MITÂ 	|NA|	part of expat |	NA|
libfile-fcntllock-perl |	GPL-1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-fcntllock-perl/libfile-fcntllock-perl_0.22-3/copyright|
libglib2.0-0 |	GPL-2,LGPL-2	|NA|	part of glib|	NA|
libgomp1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc|
libitm1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc|
libmpc3 |	LGPL-2.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mpclib3/mpclib3_1.0.3-1/copyright|
libpango-1.0-0 |	LGPL-2	|NA|	part of pango |	NA|
libpangocairo-1.0-0 |	LGPL-2	|NA|	part of pango |	NA|
libpangoft2-1.0-0 |	LGPL-2	|NA|	part of pango |	NA|
libpython2.7-minimal |	Apache-2.0	|NA|	part of python|	NA|
libpython2.7-stdlib |	Apache-2.0	|NA|	part of python|	NA|
libpython-stdlib |	 MIT,Python-2.0	|NA CLI|	NA|	NA|
libubsan0 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc|
libxcomposite1 |	 MIT	|NA CLI|	NA|	NA|
libxdamage1 |	MIT	|openhub.net|	Under xorg - https://cgit.freedesktop.org/ |	https://www.openhub.net/p/x|
libxinerama1 |	 MIT	|NA|	NA|	NA|
linux-libc-dev |	 BSD-3-Clause	|NA CLI|	NA|	NA|
python |	 MIT,Python-2.0	|NA CLI|	NA|	NA|
python2.7 |	Apache-2.0	|NA|	NA|	NA|
python2.7-minimal |	Apache-2.0	|NA|	NA|	NA|
python-minimal |	 MIT,Python-2.0	|NA CLI|	NA|	NA|
adwaita-icon-theme |	 LGPL-3, GPL-unspecified, GFDL-1.2+ CC-BY-3.0-US, CC-BY-SA-3.0-Unported	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/a/adwaita-icon-theme/adwaita-icon-theme_3.18.0-2ubuntu3/copyright|
build-essential |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/build-essential/build-essential_12.1ubuntu2/copyright|
geoip-database |	LGPL-2.1, MIT-Equivalent	|NA UI|	Source package geoip|	NA|
glib-networking |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright|
glib-networking-common |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright|
glib-networking-services |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/glib-networking/glib-networking_2.48.0-1/copyright|
gsettings-desktop-schemas |	LGPL-2.1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/gsettings-desktop-schemas/gsettings-desktop-schemas_3.18.1-1ubuntu1/copyright|
hicolor-icon-theme |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/h/hicolor-icon-theme/hicolor-icon-theme_0.15-0ubuntu1/copyright|
humanity-icon-theme |	GPL v2, CC-by-SA, CC-by-SA,    LGPL 3+, MPL 1.1, CC-by-SA 3.0 	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/h/humanity-icon-theme/humanity-icon-theme_0.6.10/copyright|
libatk-bridge2.0-0 |	LGPL-2+, GPL-2	|ubuntu.com|	Different files are licensed differently, mainly under LGPL-2. Files: debian/* are under GPL-2|	http://changelogs.ubuntu.com/changelogs/pool/main/a/at-spi2-atk/at-spi2-atk_2.18.1-2ubuntu1/copyright|
